id,nodes,etime
1,84,198
2,70,461
3,4,289
4,65,505
5,56,482
6,30,400
7,64,128
8,23,688
9,26,255
10,51,592
11,76,301
12,3,889
13,93,461
14,77,210
15,27,395
16,24,368
17,4,160
18,39,524
19,34,951
20,76,750
21,11,990
22,54,581
23,65,522
24,87,804
25,29,155
26,46,926
27,93,702
28,74,673
29,85,610
30,14,576
31,90,257
32,94,918
33,69,571
34,38,345
35,90,311
36,86,776
37,74,803
38,88,824
39,34,929
40,61,863
41,50,641
42,22,976
43,49,903
44,40,929
45,21,134
46,18,962
47,87,551
48,21,830
49,20,262
50,4,805
51,33,900
52,47,493
53,40,545
54,27,370
55,81,603
56,62,751
57,83,738
58,96,653
59,27,504
60,62,239
61,52,293
62,6,370
63,5,717
64,6,135
65,89,946
66,94,644
67,24,289
68,39,553
69,52,156
70,15,263
71,5,464
72,85,152
73,9,359
74,22,600
75,75,140
76,33,934
77,66,270
78,88,938
79,41,554
80,10,558
81,98,755
82,68,582
83,95,801
84,35,735
85,67,159
86,100,646
87,6,639
88,56,129
89,76,301
90,95,973
91,32,437
92,10,818
93,78,159
94,85,279
95,36,709
96,71,339
97,91,663
98,19,944
99,61,241
100,21,369
-1,64,600
-2,64,600
