id,nodes,etime
1,25,388
2,99,112
3,75,869
4,38,325
5,33,649
6,100,415
7,9,974
8,25,102
9,84,328
10,95,935
11,73,892
12,93,476
13,94,392
14,13,102
15,99,424
16,99,939
17,53,691
18,69,804
19,49,595
20,66,456
21,46,802
22,35,985
23,32,135
24,9,336
25,35,879
26,57,801
27,19,481
28,64,191
29,12,384
30,74,446
31,92,596
32,26,294
33,55,137
34,96,609
35,14,257
36,77,494
37,52,497
38,82,517
39,41,672
40,38,143
41,54,819
42,80,938
43,26,583
44,83,519
45,58,374
46,38,426
47,15,969
48,89,779
49,8,553
50,84,861
51,88,477
52,80,338
53,18,428
54,72,620
55,17,152
56,45,707
57,51,749
58,29,327
59,35,912
60,49,164
61,69,158
62,20,678
63,24,780
64,15,858
65,63,411
66,88,821
67,87,781
68,89,189
69,26,841
70,33,390
71,40,699
72,88,332
73,29,775
74,39,658
75,82,102
76,22,159
77,91,703
78,79,857
79,86,316
80,79,251
81,61,594
82,92,991
83,37,456
84,36,224
85,80,164
86,40,301
87,22,533
88,46,624
89,5,180
90,18,237
91,14,137
92,91,266
93,34,612
94,97,313
95,29,452
96,64,666
97,16,689
98,82,430
99,15,264
100,40,725
