id,nodes,etime
1,4,274
2,6,543
3,5,947
4,3,737
5,4,116
6,5,154
7,4,581
8,2,973
9,1,346
10,3,668
11,5,823
12,4,237
13,2,607
14,2,399
15,3,430
16,4,285
17,4,178
18,1,750
19,4,273
20,5,607
21,4,814
22,4,646
23,5,690
24,4,202
25,3,747
26,4,838
27,6,907
28,1,191
29,3,512
30,4,550
31,3,160
32,5,473
33,2,916
34,6,502
35,4,893
36,3,425
37,2,524
38,1,587
39,2,366
40,4,746
41,1,537
42,6,553
43,3,980
44,3,363
45,1,196
46,6,189
47,5,888
48,5,531
49,1,261
50,2,733
51,2,327
52,6,104
53,6,302
54,3,982
55,6,392
56,3,972
57,2,701
58,3,203
59,2,364
60,2,157
61,2,395
62,3,318
63,3,674
64,2,502
65,1,131
66,5,173
67,2,394
68,3,243
69,2,820
70,4,138
71,1,675
72,3,908
73,3,854
74,5,477
75,3,840
76,4,790
77,4,917
78,2,162
79,3,597
80,5,816
81,3,482
82,3,672
83,5,738
84,6,871
85,6,281
86,5,940
87,1,199
88,6,202
89,6,192
90,1,877
91,6,241
92,4,272
93,1,285
94,6,831
95,5,855
96,1,627
97,3,761
98,2,200
99,4,165
100,3,134
-1,6,3000
